Datetime,Total_Hydro_Generation_MW,Total_Hydro_Generation_MWh,Scaling_Ratio,Columbia_Projects_Hydro_Generation_MW,Columbia_Projects_Hydro_Generation_MWh
2023-01-01 00:00:00,5316.4,5316.5,0.9754,5185.6,5185.7
2023-01-01 01:00:00,5261.8,5261.8,0.9754,5132.4,5132.4
2023-01-01 02:00:00,5154.0,5153.8,0.9754,5027.2,5027.0
2023-01-01 03:00:00,5147.5,5147.6,0.9754,5020.9,5021.0
2023-01-01 04:00:00,5170.3,5170.1,0.9754,5043.1,5042.9
2023-01-01 05:00:00,5312.0,5312.0,0.9754,5181.3,5181.3
2023-01-01 06:00:00,5740.4,5740.5,0.9754,5599.2,5599.3
2023-01-01 07:00:00,6372.1,6372.1,0.9754,6215.3,6215.3
2023-01-01 08:00:00,6774.6,6774.6,0.9754,6607.9,6607.9
2023-01-01 09:00:00,6696.5,6696.6,0.9754,6531.8,6531.9
2023-01-01 10:00:00,6485.8,6485.9,0.9754,6326.2,6326.3
2023-01-01 11:00:00,6423.4,6423.4,0.9754,6265.4,6265.4
2023-01-01 12:00:00,6083.4,6083.4,0.9754,5933.7,5933.7
2023-01-01 13:00:00,6027.7,6027.6,0.9754,5879.4,5879.3
2023-01-01 14:00:00,6152.2,6152.1,0.9754,6000.9,6000.8
2023-01-01 15:00:00,6503.7,6503.5,0.9754,6343.7,6343.5
2023-01-01 16:00:00,7286.3,7286.3,0.9754,7107.1,7107.1
2023-01-01 17:00:00,7623.9,7624.0,0.9754,7436.4,7436.4
2023-01-01 18:00:00,7694.7,7694.9,0.9754,7505.4,7505.6
2023-01-01 19:00:00,7432.4,7432.4,0.9754,7249.6,7249.6
2023-01-01 20:00:00,7058.1,7058.2,0.9754,6884.5,6884.6
2023-01-01 21:00:00,6720.9,6721.0,0.9754,6555.6,6555.7
2023-01-01 22:00:00,6034.1,6034.2,0.9754,5885.7,5885.8
2023-01-01 23:00:00,5689.1,5689.2,0.9754,5549.1,5549.2
2023-01-02 00:00:00,5645.8,5645.7,0.9754,5506.9,5506.8
2023-01-02 01:00:00,5701.1,5701.0,0.9754,5560.9,5560.8
2023-01-02 02:00:00,5696.6,5696.5,0.9754,5556.5,5556.4
2023-01-02 03:00:00,5837.7,5837.9,0.9754,5694.1,5694.3
2023-01-02 04:00:00,6189.0,6188.9,0.9754,6036.8,6036.7
2023-01-02 05:00:00,6502.5,6502.6,0.9754,6342.5,6342.6
