              MONTHLY POWER PRODUCTION SUMMARY FOR: MAR 2023
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               61267         685       60582         685       60582
Albeni Falls            9341         200        9141         200        9141
Big Cliff               3829          29        3799          29        3799
Bonneville            361852        2976      358876        2232      359620
Cougar                  3486          90        3396          90        3396
Detroit                 8107         200        7907         200        7907
Dexter                  3426          38        3388          38        3388
Green Peter             3305          37        3268          37        3268
Hills Creek             7255          57        7198          57        7198
John Day              598194        1919      596274        1344      596850
Lookout Point          11824         170       11654         170       11654
McNary                390932        2972      387960         820      365512
The Dalles            464286        1449      462837        1072      463214
Chief Joseph          643396        1007      642389        1007      642389
Ice Harbor            146551        2133      144419         427      146125
Little Goose          134920         615      134305         369      134551
Lower Monumental      142591         518      142074         311      142281
Libby                  66869         761       66107         761       66107
Lost Creek             13477         102       13375          45       13432
Lower Granite         135316        1369      133947         548      134768
Foster                  2512         111        2401         111        2401
Grand Coulee         1056616        4742     1051874        4742     1051874
Hungry Horse           69850           0       69850           0       69850

TOTAL                4339202       22182     4317021       15295     4299307
