              MONTHLY POWER PRODUCTION SUMMARY FOR: AUG 2023
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak              267651         463      267189         463      267189
Albeni Falls           13027         152       12875         152       12875
Big Cliff               3893          14        3879          14        3879
Bonneville            180769        2976      177793        2232      178537
Cougar                  5110          50        5060          50        5060
Detroit                19488         138       19351         138       19351
Dexter                  4892          17        4875          17        4875
Green Peter            22361          48       22313          48       22313
Hills Creek             2910          34        2876          34        2876
John Day              545917        1365      544552         955      544962
Lookout Point           4802          76        4726          76        4726
McNary                325483        2976      322507         820      300063
The Dalles            344836         743      344093         550      344286
Chief Joseph          971758         844      970914         844      970914
Ice Harbor             95539        1704       93835         341       95198
Little Goose           81100         425       80676         255       80845
Lower Monumental       80316         558       79759         335       79982
Libby                 156712         393      156320         393      156320
Lost Creek             26397          85       26312          37       26360
Lower Granite          85027        1210       83817         484       84543
Foster                  9106          72        9034          72        9034
Grand Coulee         1768383        6374     1762009        6374     1762009
Hungry Horse           52854           0       52854           0       52854

TOTAL                5068333       20715     5047618       14683     5029050
