              MONTHLY POWER PRODUCTION SUMMARY FOR: MAY 2024
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               76482         473       76009         473       76009
Albeni Falls           18143         139       18004         139       18004
Big Cliff               9701          17        9684          17        9684
Bonneville            152188        2976      149212        2232      149956
Cougar                  3401          54        3347          54        3347
Detroit                26495         160       26335         160       26335
Dexter                     0          18         -18          18         -18
Green Peter            10731          50       10681          50       10681
Hills Creek             5246          49        5197          49        5197
John Day              563278        1481      561797        1037      562242
Lookout Point          17074          76       16998          76       16998
McNary                218771        2232      216539         820      193351
The Dalles            481693         744      480949         551      481142
Chief Joseph          857195         924      856271         924      856271
Ice Harbor             69002        1802       67200         360       68641
Little Goose          141779         461      141318         276      141502
Lower Monumental       51919         397       51522         238       51680
Libby                 298093         582      297511         582      297511
Lost Creek             37305         295       37010         130       37175
Lower Granite          78902        1094       77808         438       78464
Foster                     0           4          -4           4          -4
Grand Coulee         1577252        5739     1571513        5739     1571513
Hungry Horse           93848           0       93848           0       93848

TOTAL                4788497       19768     4768729       14368     4749530
