              MONTHLY POWER PRODUCTION SUMMARY FOR: NOV 2024
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               49506         576       48930         576       48930
Albeni Falls           11824         159       11665         159       11665
Big Cliff              13116          12       13105          12       13105
Bonneville            379745        2884      376861        2163      377582
Cougar                     7          46         -39          46         -39
Detroit                28171         167       28004         167       28004
Dexter                     0          26         -26          26         -26
Green Peter                0          41         -41          41         -41
Hills Creek            15960          34       15926          34       15926
John Day              619878        1333      618545         933      618945
Lookout Point              0          97         -97          97         -97
McNary                388858        2163      386695         820      364258
The Dalles            480348        1272      479076         941      479407
Chief Joseph          818706        1071      817635        1071      817635
Ice Harbor             93093        1817       91276         363       92730
Little Goose           87554         510       87044         306       87248
Lower Monumental       90007         613       89394         368       89639
Libby                 217334         642      216692         642      216692
Lost Creek             15211         339       14872         149       15062
Lower Granite          87916        1402       86515         561       87356
Foster                  6476          71        6405          71        6405
Grand Coulee         1506517        3420     1503097        3420     1503097
Hungry Horse           55312           0       55312           0       55312

TOTAL                4965540       18695     4946845       12967     4928793
