              MONTHLY POWER PRODUCTION SUMMARY FOR: DEC 2024
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               49523         676       48846         676       48846
Albeni Falls           11319         184       11135         184       11135
Big Cliff               8677          12        8665          12        8665
Bonneville            438365        2976      435389        2232      436133
Cougar                  1273         118        1155         118        1155
Detroit                 8030         188        7842         188        7842
Dexter                  1146          34        1112          34        1112
Green Peter              640          57         583          57         583
Hills Creek            15120          56       15064          56       15064
John Day              710819        1541      709278        1079      709740
Lookout Point              0         130        -130         130        -130
McNary                457145        2544      454601         820      431725
The Dalles            567068        1487      565581        1100      565968
Chief Joseph          908897        1116      907781        1116      907781
Ice Harbor            109624        1968      107656         394      109231
Little Goose           98016         592       97424         355       97660
Lower Monumental      105120         502      104618         301      104819
Libby                 297931         784      297147         784      297147
Lost Creek            463795         484      463311         213      463582
Lower Granite         106723        1452      105271         581      106142
Foster                  6155          86        6069          86        6069
Grand Coulee         1674575        5015     1669560        5015     1669560
Hungry Horse           60236           0       60236           0       60236

TOTAL                6100197       22002     6078195       15531     6060066
