Datetime,Total_Hydro_Generation_MW,Total_Hydro_Generation_MWh,Scaling_Ratio,Columbia_Projects_Hydro_Generation_MW,Columbia_Projects_Hydro_Generation_MWh
2023-01-01,6256.7,150161.7,0.9754,6102.8,146467.7
2023-01-02,7295.1,175080.8,0.9754,7115.6,170773.8
2023-01-03,7485.7,179657.2,0.9754,7301.6,175237.6
2023-01-04,7851.8,188444.4,0.9754,7658.6,183808.7
2023-01-05,7275.3,174607.9,0.9754,7096.3,170312.5
2023-01-06,7177.7,172264.3,0.9754,7001.1,168026.6
2023-01-07,6325.7,151816.2,0.9754,6170.1,148081.5
2023-01-08,6512.7,156304.7,0.9754,6352.5,152459.6
2023-01-09,7619.2,182862.4,0.9754,7431.8,178364.0
2023-01-10,7042.5,169020.3,0.9754,6869.3,164862.4
2023-01-11,7452.3,178854.6,0.9754,7269.0,174454.8
2023-01-12,7391.2,177388.6,0.9754,7209.4,173024.8
2023-01-13,6824.7,163793.7,0.9754,6656.8,159764.4
2023-01-14,6236.3,149669.6,0.9754,6082.9,145987.7
2023-01-15,6220.1,149281.9,0.9754,6067.1,145609.6
2023-01-16,6714.2,161141.6,0.9754,6549.0,157177.5
2023-01-17,7350.8,176419.2,0.9754,7170.0,172079.3
2023-01-18,7837.5,188099.4,0.9754,7644.7,183472.2
2023-01-19,7745.6,185893.6,0.9754,7555.1,181320.6
2023-01-20,7800.1,187203.6,0.9754,7608.2,182598.4
2023-01-21,7572.9,181750.4,0.9754,7386.6,177279.3
2023-01-22,6954.9,166917.5,0.9754,6783.8,162811.3
2023-01-23,7677.5,184259.3,0.9754,7488.6,179726.5
2023-01-24,7772.9,186550.5,0.9754,7581.7,181961.4
2023-01-25,7392.8,177427.4,0.9754,7210.9,173062.7
2023-01-26,6955.5,166930.4,0.9754,6784.4,162823.9
2023-01-27,7008.7,168208.5,0.9754,6836.3,164070.6
2023-01-28,7662.5,183899.7,0.9754,7474.0,179375.8
2023-01-29,8199.6,196789.9,0.9754,7997.9,191948.9
2023-01-30,8851.1,212425.4,0.9754,8633.4,207199.7
2023-01-31,8631.4,207154.2,0.9754,8419.1,202058.2
2023-02-01,8428.8,202292.2,0.9894,8339.5,200147.9
2023-02-02,8396.6,201518.2,0.9894,8307.6,199382.1
2023-02-03,7484.3,179623.8,0.9894,7405.0,177719.8
2023-02-04,7003.3,168079.3,0.9894,6929.1,166297.7
2023-02-05,6505.8,156139.0,0.9894,6436.8,154483.9
2023-02-06,6629.5,159108.6,0.9894,6559.2,157422.0
2023-02-07,6744.0,161856.6,0.9894,6672.5,160140.9
2023-02-08,6887.4,165297.5,0.9894,6814.4,163545.3
2023-02-09,7034.6,168830.9,0.9894,6960.0,167041.3
2023-02-10,6909.6,165830.0,0.9894,6836.4,164072.2
2023-02-11,6656.4,159753.4,0.9894,6585.8,158060.0
2023-02-12,7136.1,171267.6,0.9894,7060.5,169452.2
2023-02-13,6743.5,161844.8,0.9894,6672.0,160129.2
2023-02-14,6963.1,167113.9,0.9894,6889.3,165342.5
2023-02-15,6983.8,167611.1,0.9894,6909.8,165834.4
2023-02-16,7496.6,179919.8,0.9894,7417.1,178012.7
2023-02-17,6739.8,161755.6,0.9894,6668.4,160041.0
2023-02-18,6720.0,161279.6,0.9894,6648.8,159570.0
2023-02-19,7236.8,173681.2,0.9894,7160.1,171840.2
2023-02-20,6662.8,159906.6,0.9894,6592.2,158211.6
2023-02-21,6828.7,163888.3,0.9894,6756.3,162151.1
2023-02-22,7477.9,179468.9,0.9894,7398.6,177566.5
2023-02-23,7024.3,168582.0,0.9894,6949.8,166795.0
2023-02-24,7287.5,174900.1,0.9894,7210.3,173046.2
2023-02-25,7227.2,173453.0,0.9894,7150.6,171614.4
2023-02-26,7132.1,171168.9,0.9894,7056.5,169354.5
2023-02-27,7514.0,180336.0,0.9894,7434.4,178424.4
2023-02-28,6821.5,163716.8,0.9894,6749.2,161981.4
2023-03-01,6384.5,153227.3,0.9869,6300.9,151220.0
2023-03-02,5979.5,143508.7,0.9869,5901.2,141628.7
2023-03-03,5572.6,133741.0,0.9869,5499.6,131989.0
2023-03-04,5884.1,141218.5,0.9869,5807.0,139368.5
2023-03-05,5808.8,139411.3,0.9869,5732.7,137585.0
2023-03-06,5863.9,140733.7,0.9869,5787.1,138890.1
2023-03-07,5998.8,143970.1,0.9869,5920.2,142084.1
2023-03-08,6219.4,149264.8,0.9869,6137.9,147309.4
2023-03-09,6403.0,153670.8,0.9869,6319.1,151657.7
2023-03-10,5757.5,138180.4,0.9869,5682.1,136370.2
2023-03-11,5893.9,141453.4,0.9869,5816.7,139600.4
2023-03-12,6341.8,145861.3,0.9869,6258.7,143950.5
2023-03-13,5718.8,137251.4,0.9869,5643.9,135453.4
