Year,Month,Columbia_Projects_Power_Generation,Total_Power_Generation,Scaling_Ratio
2023,1,5221446.0,5353045.0,0.9754
2023,2,4586530.0,4635522.0,0.9894
2023,3,4260635.0,4317021.0,0.9869
2023,4,3274305.0,3317473.0,0.987
2023,5,7746711.0,7843963.0,0.9876
2023,6,4675893.0,4784113.0,0.9774
2023,7,4856580.0,4947524.0,0.9816
2023,8,4949193.0,5047618.0,0.9805
2023,9,3316212.0,3393282.0,0.9773
2023,10,3301957.0,3347566.0,0.9864
2023,11,4803053.0,4836842.0,0.993
2023,12,4766206.0,4836736.0,0.9854
2024,1,4593951.0,4742802.0,0.9686
2024,2,4189782.0,4330435.0,0.9675
2024,3,5007151.0,5097387.0,0.9823
2024,4,3847103.0,3936256.0,0.9774
2024,5,4659501.0,4768729.0,0.9771
2024,6,5321547.0,5420480.0,0.9817
2024,7,5432035.0,5538454.0,0.9808
2024,8,4948138.0,5032127.0,0.9833
2024,9,3512609.0,3626497.0,0.9686
2024,10,3362697.0,3426609.0,0.9813
2024,11,4868737.0,4946845.0,0.9842
2024,12,5574523.0,6078195.0,0.9171
2025,1,5569474.0,5772161.0,0.9649
2025,2,,,0.9649
