              MONTHLY POWER PRODUCTION SUMMARY FOR: APR 2023
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak              225802         648      225154         648      225154
Albeni Falls           12238         153       12085         153       12085
Big Cliff               3785          20        3765          20        3765
Bonneville            169404        2784      166620        2088      167316
Cougar                  3825          82        3743          82        3743
Detroit                12582         179       12403         179       12403
Dexter                     0          34         -34          34         -34
Green Peter              342          61         281          61         281
Hills Creek             5460          49        5411          49        5411
John Day              426503        1727      424776        1209      425294
Lookout Point            669          91         578          91         578
McNary                241754        2880      238874         820      217154
The Dalles            359925         701      359224         518      359406
Chief Joseph          549363        1049      548314        1049      548314
Ice Harbor             59897        1959       57939         392       59505
Little Goose          105773         475      105298         285      105488
Lower Monumental       83839         473       83365         284       83554
Libby                  64651         578       64073         578       64073
Lost Creek             10909          77       10832          34       10875
Lower Granite          85072        1084       83988         434       84639
Foster                  6282          92        6190          92        6190
Grand Coulee          862651        5079      857572        5079      857572
Hungry Horse           47023           0       47023           0       47023

TOTAL                3337747       20275     3317473       14179     3299789
