              MONTHLY POWER PRODUCTION SUMMARY FOR: MAY 2023
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak              140418         455      139964         455      139964
Albeni Falls            4275         118        4162         118        4162
Big Cliff               9442          21        9421          21        9421
Bonneville            459327        2976      456351        2232      457095
Cougar                  4532          42        4490          42        4490
Detroit                23330         168       23162         168       23162
Dexter                  2470          21        2449          21        2449
Green Peter                0          51         -51          51         -51
Hills Creek             6002          38        5964          38        5964
John Day              838364        1544      836820        1081      837283
Lookout Point           9129          98        9031          98        9031
McNary                279442        2976      276466         820      254022
The Dalles            791267         744      790523         550      790716
Chief Joseph         1281315         836     1280479         836     1280479
Ice Harbor            149592        1719      147873         344      149248
Little Goose          342875         456      342419         273      342602
Lower Monumental      341450         438      341012         263      341187
Libby                 203624         492      203133         492      203133
Lost Creek             36494          74       36420          33       36461
Lower Granite         382328        1060      381267         424      381903
Foster                  6438          71        6367          71        6367
Grand Coulee         2453690        6336     2447354        6336     2447354
Hungry Horse           98888           0       98888           0       98888

TOTAL                7864693       20734     7843963       14767     7825331
