              MONTHLY POWER PRODUCTION SUMMARY FOR: SEP 2023
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak              139009         391      138618         391      138618
Albeni Falls           15961         131       15830         131       15830
Big Cliff               6323          18        6306          18        6306
Bonneville            269532        2880      266652        2160      267372
Cougar                  5422          45        5377          45        5377
Detroit                25043         129       24914         129       24914
Dexter                  4655          17        4638          17        4638
Green Peter             9520          41        9479          41        9479
Hills Creek             3050          33        3017          33        3017
John Day              410532        1247      409285         873      409659
Lookout Point            566          67         499          67         499
McNary                274615        2880      271735         820      250015
The Dalles            315156         720      314436         533      314623
Chief Joseph          466586         853      465733         853      465733
Ice Harbor            114294        1674      112620         335      113959
Little Goose          111317         420      110896         252      111065
Lower Monumental      112433         505      111928         303      112130
Libby                 147694         405      147289         405      147289
Lost Creek             16521         117       16404          51       16470
Lower Granite         111808        1447      110362         579      111230
Foster                  6503          67        6436          67        6436
Grand Coulee          802433        5787      796646        5787      796646
Hungry Horse           44182           0       44182           0       44182

TOTAL                3413155       19873     3393282       13889     3375486
