              MONTHLY POWER PRODUCTION SUMMARY FOR: OCT 2023
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               48885         398       48487         398       48487
Albeni Falls           22662         140       22522         140       22522
Big Cliff               6897          23        6874          23        6874
Bonneville            284886        2976      281910        2232      282654
Cougar                  3153          48        3105          48        3105
Detroit                 7285         140        7145         140        7145
Dexter                  2177          22        2155          22        2155
Green Peter             2861          38        2823          38        2823
Hills Creek             4945          34        4911          34        4911
John Day              437993        1250      436744         875      437119
Lookout Point              0          74         -74          74         -74
McNary                286827        2976      283851         820      261407
The Dalles            341515         744      340771         550      340964
Chief Joseph          504607         913      503694         913      503694
Ice Harbor             93599        1743       91856         349       93251
Little Goose           90083         474       89609         285       89799
Lower Monumental       90003         407       89596         244       89759
Libby                  78815         518       78297         518       78297
Lost Creek             13823         183       13640          81       13742
Lower Granite          90921        1415       89506         566       90355
Foster                  5069          39        5030          39        5030
Grand Coulee          896024        5499      890525        5499      890525
Hungry Horse           54589           0       54589           0       54589

TOTAL                3367620       20055     3347566       13888     3329132
