              MONTHLY POWER PRODUCTION SUMMARY FOR: NOV 2023
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               46834         505       46329         505       46329
Albeni Falls           11068         160       10908         160       10908
Big Cliff              11476          32       11444          32       11444
Bonneville            391819        2884      388935        2163      389656
Cougar                    23          60         -37          60         -37
Detroit                    0         160        -160         160        -160
Dexter                     0          27         -27          27         -27
Green Peter                0          44         -44          44         -44
Hills Creek             7200          42        7158          42        7158
John Day              630186        1362      628824         954      629233
Lookout Point              0         133        -133         133        -133
McNary                413038        2884      410154         820      388438
The Dalles            489967         723      489244         535      489432
Chief Joseph          813052        1079      811973        1079      811973
Ice Harbor            106350        1850      104501         370      105980
Little Goose          100323         512       99812         307      100017
Lower Monumental      101578         445      101133         267      101311
Libby                  93804         747       93057         747       93057
Lost Creek             13047         349       12698         154       12893
Lower Granite         101323        1354       99969         542      100781
Foster                  2954          65        2889          65        2889
Grand Coulee         1489167        5111     1484056        5111     1484056
Hungry Horse           34158           0       34158           0       34158

TOTAL                4857369       20527     4836842       14276     4819313
