              MONTHLY POWER PRODUCTION SUMMARY FOR: JUN 2024
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak              200134         488      199646         488      199646
Albeni Falls           14705         133       14572         133       14572
Big Cliff               6792          16        6776          16        6776
Bonneville            194882        2880      192002        2160      192722
Cougar                  8973          41        8932          41        8932
Detroit                16535         148       16387         148       16387
Dexter                     0          18         -18          18         -18
Green Peter             9779          48        9731          48        9731
Hills Creek             2611          42        2569          42        2569
John Day              616821        1424      615397         997      615825
Lookout Point          19297          68       19229          68       19229
McNary                233770        2160      231610         820      209170
The Dalles            470442         719      469723         532      469910
Chief Joseph         1022654         788     1021866         788     1021866
Ice Harbor             97783        1766       96017         353       97429
Little Goose          139434         437      138996         262      139171
Lower Monumental      101541         394      101148         236      101305
Libby                 157588         482      157106         482      157106
Lost Creek             35589         190       35399          84       35505
Lower Granite         105183        1178      104005         471      104712
Foster                     0          71         -71          71         -71
Grand Coulee         1910311        6039     1904272        6039     1904272
Hungry Horse           75187           0       75187           0       75187

TOTAL                5440011       19530     5420480       14297     5401933
