              MONTHLY POWER PRODUCTION SUMMARY FOR: AUG 2024
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak              293896         495      293401         495      293401
Albeni Falls           14282         158       14124         158       14124
Big Cliff               3103          15        3088          15        3088
Bonneville            214528        2976      211552        2232      212296
Cougar                  7994          46        7948          46        7948
Detroit                12793         141       12652         141       12652
Dexter                  2334          18        2316          18        2316
Green Peter            11183          50       11133          50       11133
Hills Creek             7396          35        7361          35        7361
John Day              554208        1408      552800         986      553222
Lookout Point           9037          67        8970          67        8970
McNary                344066        2219      341847         820      318646
The Dalles            350517         743      349773         550      349966
Chief Joseph          916172         861      915311         861      915311
Ice Harbor             90750        1842       88908         368       90381
Little Goose           94459         449       94010         270       94189
Lower Monumental       90509         540       89968         324       90184
Libby                 155443         399      155044         399      155044
Lost Creek             26343         137       26206          60       26283
Lower Granite          95521        1402       94119         561       94960
Foster                  4386          71        4315          71        4315
Grand Coulee         1676056        5611     1670445        5611     1670445
Hungry Horse           76836           0       76836           0       76836

TOTAL                5051811       19684     5032127       14138     5013073
